FID	IID	phenotype
0	NA18868	151.015367164104
0	NA18870	174.332813399902
0	NA18873	100.792295186238
0	NA18907	243.707384196519
0	NA18908	134.12739031151
0	NA18909	121.826637763562
0	NA18910	120.009687821737
0	NA18912	129.4317610298
0	NA18916	183.567900550662
0	NA18917	188.550487908541
0	NA18923	158.37248606715
0	NA18933	121.979689443864
0	NA18934	175.436684769784
0	NA19092	69.169752424908
0	NA19093	119.275781614957
0	NA19095	281.29280131487
0	NA19096	235.07248479315
0	NA19098	246.030251793022
0	NA19099	91.0528030462033
0	NA19102	129.320055705253
0	NA19107	110.973963136774
0	NA19108	94.5695208627924
0	NA19113	305.579105943528
0	NA19114	247.850310524202
0	NA19116	135.529170224535
0	NA19117	79.5403329269592
0	NA19118	323.703565068547
0	NA19119	259.726706748898
0	NA19121	308.653457903857
0	NA19129	116.192141925477
0	NA19130	198.087967577535
0	NA19131	109.451730259811
0	NA19137	128.03093821208
0	NA19138	115.594314289963
0	NA19141	119.456599024928
0	NA19143	170.502789524691
0	NA19144	202.228315592498
0	NA19146	110.591039210765
0	NA19147	131.766965188569
0	NA19149	194.591567165187
0	NA19150	109.763864007096
0	NA19152	123.696153814364
0	NA19153	73.1428686794881
0	NA19159	183.106008373117
0	NA19160	208.653509986782
0	NA19171	117.452252900311
0	NA19172	290.495176768238
0	NA19175	169.817604866519
0	NA19184	151.174307924375
0	NA19185	284.528526887723
0	NA19189	247.84807952991
0	NA19190	128.413904936765
0	NA19197	245.33467560931
0	NA19198	222.597601143219
0	NA19200	250.236352138451
0	NA19201	168.556486978354
0	NA19204	96.4894720469194
0	NA19206	133.835849004237
0	NA19207	219.355226968472
0	NA19209	83.3842946717802
0	NA19210	186.37321511439
0	NA19213	192.569713979154
0	NA19214	164.975336522052
0	NA19222	103.535509913081
0	NA19223	192.28401663175
0	NA19225	174.120588640764
0	NA19235	238.247390789024
0	NA19236	188.470047670654
0	NA19247	87.2373851415822
0	NA19248	191.04453186564
0	NA19256	132.604338137134
0	NA19257	143.1737572473
0	NA20502	174.956001550411
0	NA20503	271.357849247304
0	NA20504	128.897433836742
0	NA20505	190.514228406252
0	NA20506	143.179531987166
0	NA20507	202.940337455971
0	NA20508	154.455367459695
0	NA20509	137.126949497907
0	NA20510	50.7794360034799
0	NA20512	90.5896147639682
0	NA20513	206.881056485252
0	NA20514	270.058814563671
0	NA20515	118.291457091833
0	NA20516	131.884925683706
0	NA20517	204.18731900833
0	NA20518	192.720209877276
0	NA20519	79.5470667850699
0	NA20520	128.736734938079
0	NA20521	85.2432134904058
0	NA20524	64.9407948700057
0	NA20525	99.6807239425137
0	NA20527	111.751490378207
0	NA20528	201.471312754545
0	NA20529	161.620277118131
0	NA20530	116.353715097789
0	NA20531	285.774668164938
0	NA20532	53.3192079205059
0	NA20534	173.293948872955
0	NA20535	159.213186655313
0	NA20536	85.6778521457041
0	NA20537	160.179330476269
0	NA20538	112.158536987471
0	NA20539	104.754876982593
0	NA20540	102.733406653611
0	NA20541	146.54660624404
0	NA20542	181.892433139393
0	NA20543	166.882224276611
0	NA20544	70.0163140847652
0	NA20581	72.9056990304374
0	NA20582	209.394996508019
0	NA20585	105.07680303801
0	NA20586	173.298431316485
0	NA20588	57.8530998950617
0	NA20589	123.499587751084
0	NA20752	62.1646304669191
0	NA20754	176.29354695105
0	NA20756	170.458628964718
0	NA20757	112.791756241576
0	NA20758	97.7214510855487
0	NA20759	181.309719623489
0	NA20760	125.564340746568
0	NA20761	93.9495521462305
0	NA20765	228.135960633672
0	NA20766	112.82147172396
0	NA20768	184.976244096273
0	NA20769	197.43652865955
0	NA20770	115.047369966656
0	NA20771	110.512841171048
0	NA20772	330.449641120037
0	NA20773	121.401063233308
0	NA20774	180.842442231178
0	NA20778	116.759754088753
0	NA20783	121.724219955881
0	NA20785	110.463471639105
0	NA20786	145.691163391154
0	NA20787	96.7180093508839
0	NA20790	73.1575251128767
0	NA20792	59.9324953053024
0	NA20795	119.373399247564
0	NA20796	123.420709839029
0	NA20797	176.273458169715
0	NA20798	47.7759240099532
0	NA20799	45.1414472314001
0	NA20800	124.11072893784
0	NA20801	171.457566638635
0	NA20802	157.10083223626
0	NA20803	111.362158330238
0	NA20804	164.187127207513
0	NA20805	106.930305923569
0	NA20806	130.44096732576
0	NA20807	265.132022415477
0	NA20808	184.419419946788
0	NA20809	174.166027647836
0	NA20810	165.463878115249
0	NA20811	134.475057340212
0	NA20812	194.65831593361
0	NA20813	204.387089595497
0	NA20814	164.145612790664
0	NA20815	126.133331379539
0	NA20816	140.546704385692
0	NA20819	261.687002462516
0	NA20826	236.542163366258
0	NA20828	49.3935584194383
